date,vnd_per_cad,open,high,low,change_pct,year,month
2025-09-17,19149.1,19201.23,19224.0,19127.57,-0.28,2025,9
2025-09-18,19125.12,19148.4,19174.87,19096.05,-0.13,2025,9
2025-09-19,19144.12,19125.8,19162.88,19074.45,0.1,2025,9
2025-09-22,19116.79,19138.56,19163.02,19094.52,-0.14,2025,9
2025-09-23,19096.5,19118.18,19130.37,19062.24,-0.11,2025,9
2025-09-24,19011.27,19096.5,19103.37,18995.54,-0.45,2025,9
2025-09-25,18941.21,19011.95,19031.33,18926.96,-0.37,2025,9
2025-09-26,18942.08,18943.94,18966.13,18912.22,0.0,2025,9
2025-09-29,18988.11,18940.72,19005.18,18934.62,0.24,2025,9
2025-09-30,18984.23,18989.47,19018.39,18962.44,-0.02,2025,9
2025-10-01,18952.96,18984.23,19002.59,18920.38,-0.16,2025,10
2025-10-02,18896.45,18952.28,18956.98,18870.11,-0.3,2025,10
2025-10-03,18909.08,18895.77,18926.71,18876.91,0.07,2025,10
2025-10-06,18909.81,18899.61,18934.82,18871.07,0.0,2025,10
2025-10-07,18900.32,18909.81,18924.84,18872.1,-0.05,2025,10
2025-10-08,18894.03,18901.0,18921.83,18858.95,-0.03,2025,10
2025-10-09,18792.13,18893.35,18960.79,18773.38,-0.54,2025,10
2025-10-10,18804.21,18792.13,18850.66,18769.56,0.06,2025,10
2025-10-13,18768.26,18812.94,18851.47,18763.58,-0.19,2025,10
2025-10-14,18764.38,18768.93,18788.0,18711.76,-0.02,2025,10
2025-10-15,18757.35,18763.71,18790.54,18732.66,-0.04,2025,10
2025-10-16,18737.78,18758.69,18790.2,18728.45,-0.1,2025,10
2025-10-17,18788.21,18737.78,18805.64,18719.99,0.27,2025,10
2025-10-20,18765.14,18785.53,18819.84,18745.78,-0.12,2025,10
2025-10-21,18786.24,18767.81,18813.07,18726.05,0.11,2025,10
2025-10-22,18827.04,18786.91,18852.63,18767.18,0.22,2025,10
2025-10-23,18818.66,18828.39,18843.91,18795.79,-0.04,2025,10
2025-10-24,18794.65,18820.67,18845.6,18735.76,-0.13,2025,10
2025-10-27,18802.04,18790.63,18838.98,18764.3,0.04,2025,10
2025-10-28,18878.54,18802.71,18896.15,18775.66,0.41,2025,10
2025-10-29,18888.33,18877.86,18964.5,18865.79,0.05,2025,10
2025-10-30,18825.97,18889.01,18907.47,18786.35,-0.33,2025,10
2025-10-31,18782.34,18825.3,18839.46,18747.55,-0.23,2025,10
2025-11-03,18719.4,18791.73,18795.52,18692.14,-0.34,2025,11
2025-11-04,18662.04,18719.4,18731.24,18654.11,-0.31,2025,11
2025-11-05,18657.2,18661.38,18679.31,18613.65,-0.03,2025,11
2025-11-06,18639.99,18659.84,18686.66,18608.36,-0.09,2025,11
